experiment_name,assignment_strategy,n_robots,max_number_of_targets,learning_rate,discount_factor,seed,mean_path_length,mean_distance_to_a_target,time_taken,steps_taken
main_experiment,random,3,2,0.9,0.99,3,22.055555555555554,19.3,5.286567687988281,147
main_experiment,random,3,3,0.9,0.99,1,34.44444444444445,25.7,6.533650636672974,133
main_experiment,random,3,3,0.9,0.99,2,15.666666666666666,17.6,6.120982646942139,100
main_experiment,random,3,3,0.9,0.99,3,33.61111111111111,23.5,6.349105358123779,108
main_experiment,random,3,4,0.9,0.99,1,19.916666666666668,18.9,6.858136892318726,83
main_experiment,random,3,4,0.9,0.99,2,23.361111111111114,22.8,5.923289775848389,87
main_experiment,random,3,4,0.9,0.99,3,23.166666666666668,22.8,7.081113576889038,91
main_experiment,random,3,5,0.9,0.99,1,24.166666666666668,23.9,7.2506303787231445,94
main_experiment,random,3,5,0.9,0.99,2,46.06666666666666,25.6,7.636634826660156,106
main_experiment,random,3,5,0.9,0.99,3,26.5,25.5,6.880832672119141,104
main_experiment,random,3,6,0.9,0.99,1,36.75,33.3,7.681788682937622,145
main_experiment,random,3,6,0.9,0.99,2,24.916666666666668,24.4,7.831373929977417,95
main_experiment,random,3,6,0.9,0.99,3,44.18333333333334,25.0,7.730817556381226,100
main_experiment,random,3,7,0.9,0.99,1,25.36111111111111,25.5,8.11173152923584,111
main_experiment,random,3,7,0.9,0.99,2,41.55555555555556,27.9,8.403093814849854,117
main_experiment,random,3,7,0.9,0.99,3,36.63888888888889,36.0,7.879551887512207,136
main_experiment,random,3,8,0.9,0.99,1,36.333333333333336,32.5,14.134398937225342,126
main_experiment,random,3,8,0.9,0.99,2,30.333333333333332,28.2,10.454813003540039,147
main_experiment,random,3,8,0.9,0.99,3,37.36666666666667,31.8,9.48003339767456,129
main_experiment,random,3,9,0.9,0.99,1,41.583333333333336,36.4,13.96157956123352,152
main_experiment,random,3,9,0.9,0.99,2,35.416666666666664,34.3,10.881603956222534,134
main_experiment,random,3,9,0.9,0.99,3,18.555555555555554,23.9,10.880060195922852,133
main_experiment,random,3,10,0.9,0.99,1,29.472222222222225,28.7,11.370063304901123,111
main_experiment,random,3,10,0.9,0.99,2,31.333333333333332,29.7,11.9460289478302,152
main_experiment,random,3,10,0.9,0.99,3,14.638888888888891,22.0,10.637340068817139,139
main_experiment,random,4,1,0.9,0.99,1,12.458333333333334,15.9,5.210001230239868,199
main_experiment,random,4,1,0.9,0.99,2,16.9375,16.5,5.3453123569488525,211
main_experiment,random,4,1,0.9,0.99,3,19.55,19.7,5.534587860107422,218
main_experiment,random,4,2,0.9,0.99,1,21.041666666666664,20.09090909090909,6.071533918380737,143
main_experiment,random,4,2,0.9,0.99,2,9.2125,14.0,6.231201410293579,120
main_experiment,random,4,2,0.9,0.99,3,21.729166666666668,21.5,6.131659746170044,135
main_experiment,random,4,3,0.9,0.99,1,17.979166666666668,18.1,6.35042929649353,95
main_experiment,random,4,3,0.9,0.99,2,20.104166666666668,20.2,6.626462936401367,107
main_experiment,random,4,3,0.9,0.99,3,23.583333333333336,25.7,6.8565449714660645,148
main_experiment,random,4,4,0.9,0.99,1,30.916666666666668,29.5,7.297073841094971,109
main_experiment,random,4,4,0.9,0.99,2,36.5,26.0,7.478191375732422,101
main_experiment,random,4,4,0.9,0.99,3,35.41666666666667,33.8,7.379229784011841,122
main_experiment,random,4,5,0.9,0.99,1,24.5625,23.9,7.873574495315552,96
main_experiment,random,4,5,0.9,0.99,2,36.10416666666667,27.7,7.759583234786987,81
main_experiment,random,4,5,0.9,0.99,3,54.5625,44.3,8.317554235458374,155
main_experiment,random,4,6,0.9,0.99,1,33.9375,26.1,8.504900693893433,100
main_experiment,random,4,6,0.9,0.99,2,31.5,25.3,8.794948101043701,86
